class,category,indicator_name,series_name,sub_series_name,parameter,value,units,date_last_updated
Health,COVID-19,Tests per day,Tests by day,Tests by day,07/01/2021,4694,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,10/01/2021,3142,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,11/01/2021,2716,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,13/01/2021,4847,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,15/01/2021,4358,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,17/01/2021,3488,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,18/01/2021,1868,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,20/01/2021,4451,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,22/01/2021,4305,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,24/01/2021,2678,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,26/01/2021,3582,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,27/01/2021,10812,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,28/01/2021,8306,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,01/02/2021,3017,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,02/02/2021,2302,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,03/02/2021,4106,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,04/02/2021,5130,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,05/02/2021,4875,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,08/02/2021,2579,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,09/02/2021,2207,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,10/02/2021,2845,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,11/02/2021,5740,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,12/02/2021,5089,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,14/02/2021,3343,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,15/02/2021,3132,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),01/03/2020,225,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),02/03/2020,254,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),03/03/2020,280,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),04/03/2020,305,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),05/03/2020,332,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),06/03/2020,398,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),07/03/2020,442,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),08/03/2020,470,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),09/03/2020,549,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),10/03/2020,637,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),11/03/2020,720,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),12/03/2020,817,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),13/03/2020,937,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),14/03/2020,1065,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),15/03/2020,1153,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),16/03/2020,1557,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),17/03/2020,2478,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),18/03/2020,3488,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),19/03/2020,4872,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),20/03/2020,6606,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),21/03/2020,7887,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),22/03/2020,8760,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),23/03/2020,10658,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),24/03/2020,12850,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),25/03/2020,14802,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),26/03/2020,16890,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),27/03/2020,18743,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),28/03/2020,20109,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),29/03/2020,21091,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),30/03/2020,23050,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),31/03/2020,25086,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),01/04/2020,28748,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),02/04/2020,32805,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),03/04/2020,37166,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),04/04/2020,39769,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),05/04/2020,42310,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),06/04/2020,45688,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),07/04/2020,50522,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),08/04/2020,54227,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),09/04/2020,58015,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),10/04/2020,59731,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),11/04/2020,61525,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),12/04/2020,62875,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),13/04/2020,64357,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),14/04/2020,67480,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),15/04/2020,71501,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),16/04/2020,75897,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),17/04/2020,80747,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),18/04/2020,83953,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),19/04/2020,86259,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),20/04/2020,91991,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),21/04/2020,99115,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),22/04/2020,105358,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),23/04/2020,111998,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),24/04/2020,118541,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),25/04/2020,121282,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),26/04/2020,123380,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),27/04/2020,125414,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),28/04/2020,130516,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),29/04/2020,135867,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),30/04/2020,141341,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),01/05/2020,146994,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),02/05/2020,149797,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),03/05/2020,151457,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),04/05/2020,156694,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),05/05/2020,163558,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),06/05/2020,170840,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),07/05/2020,178654,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),08/05/2020,187089,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),09/05/2020,190524,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),10/05/2020,192269,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),11/05/2020,197696,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),12/05/2020,205191,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),13/05/2020,212048,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),14/05/2020,218630,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),15/05/2020,224410,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),16/05/2020,226789,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),17/05/2020,228341,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),18/05/2020,233738,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),19/05/2020,239439,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),20/05/2020,245079,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),21/05/2020,250736,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),22/05/2020,255463,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),23/05/2020,256935,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),24/05/2020,258054,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),25/05/2020,262482,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),26/05/2020,266499,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),27/05/2020,269981,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),28/05/2020,273033,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),29/05/2020,275446,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),30/05/2020,276215,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),31/05/2020,276392,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),01/06/2020,277063,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),02/06/2020,278212,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),03/06/2020,280932,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),04/06/2020,283649,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),05/06/2020,286642,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),06/06/2020,288718,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),07/06/2020,289512,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),08/06/2020,290502,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),09/06/2020,293143,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),10/06/2020,296570,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),11/06/2020,299485,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),12/06/2020,302419,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),13/06/2020,304903,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),14/06/2020,305663,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),15/06/2020,307123,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),16/06/2020,310690,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),17/06/2020,315522,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),18/06/2020,321832,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),19/06/2020,329536,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),20/06/2020,335594,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),21/06/2020,339045,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),22/06/2020,343196,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),23/06/2020,352164,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),24/06/2020,362523,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),25/06/2020,372529,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),26/06/2020,381620,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),27/06/2020,387085,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),28/06/2020,389894,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),29/06/2020,391709,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),30/06/2020,396442,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),01/07/2020,399846,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),02/07/2020,403574,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),03/07/2020,405665,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),04/07/2020,406252,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),05/07/2020,408863,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),06/07/2020,410713,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),07/07/2020,412901,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),08/07/2020,415904,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),09/07/2020,418569,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),10/07/2020,420671,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),11/07/2020,422392,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),12/07/2020,423483,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),13/07/2020,425017,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),14/07/2020,427808,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),15/07/2020,430635,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),16/07/2020,432986,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),17/07/2020,435561,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),18/07/2020,436997,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),19/07/2020,437701,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),20/07/2020,438656,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),21/07/2020,440852,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),22/07/2020,443218,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),23/07/2020,445964,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),24/07/2020,448358,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),25/07/2020,450040,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),26/07/2020,450685,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),27/07/2020,452291,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),28/07/2020,454692,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),29/07/2020,457106,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),30/07/2020,459502,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),31/07/2020,462579,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),01/08/2020,464988,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),02/08/2020,466677,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),03/08/2020,468379,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),04/08/2020,472493,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),05/08/2020,477382,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),06/08/2020,481452,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),07/08/2020,484817,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),08/08/2020,488907,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),09/08/2020,491245,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),10/08/2020,492932,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),11/08/2020,497096,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),12/08/2020,503074,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),13/08/2020,518727,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),14/08/2020,542105,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),15/08/2020,566096,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),16/08/2020,591101,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),17/08/2020,609537,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),18/08/2020,632236,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),19/08/2020,649834,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),20/08/2020,664496,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),21/08/2020,676505,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),22/08/2020,683776,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),23/08/2020,688253,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),24/08/2020,692447,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),25/08/2020,700945,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),26/08/2020,709731,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),27/08/2020,720141,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),28/08/2020,730319,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),29/08/2020,740819,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),30/08/2020,747385,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),31/08/2020,756324,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),01/09/2020,767473,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),02/09/2020,777996,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),03/09/2020,787585,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),04/09/2020,796445,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),05/09/2020,804220,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),06/09/2020,808219,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),07/09/2020,812914,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),08/09/2020,820930,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),09/09/2020,828637,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),10/09/2020,837188,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),11/09/2020,846103,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),12/09/2020,853588,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),13/09/2020,857450,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),14/09/2020,861381,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),15/09/2020,869979,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),16/09/2020,878324,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),17/09/2020,885641,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),18/09/2020,893811,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),19/09/2020,899348,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),20/09/2020,902715,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),21/09/2020,906222,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),22/09/2020,913064,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),23/09/2020,919144,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),24/09/2020,925579,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),25/09/2020,931454,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),26/09/2020,936531,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),27/09/2020,940143,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),28/09/2020,943387,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),29/09/2020,948382,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),30/09/2020,953989,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),01/10/2020,958738,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),02/10/2020,965097,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),03/10/2020,969107,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),04/10/2020,971686,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),05/10/2020,974724,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),06/10/2020,980393,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),07/10/2020,986545,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),08/10/2020,992142,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),09/10/2020,996956,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),10/10/2020,1000765,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),11/10/2020,1002791,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),12/10/2020,1005808,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),13/10/2020,1011657,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),14/10/2020,1016853,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),15/10/2020,1021931,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),16/10/2020,1026725,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),17/10/2020,1030115,Number,15/02/2021
Health,COVID-19,Tests per day,Total tests (cumulative),Total tests (cumulative),18/10/2020,1031888,Number,15/02/2021
